	NSGAII	SPEA2	CMAES
0	1206072.3523210145	1206064.0395657043	1204935.4409285136
1	1206078.1091380927	1206054.6504660146	1206007.600677685
2	1206050.7623715128	1206077.7408621795	1205992.5007813908
3	1206075.0462589911	1206069.5218703558	1205825.0064930487
4	1206061.1107161082	1206068.4798615668	1205592.042640624
5	1206072.9606017512	1206076.6737234003	1205692.2196631092
6	1206057.2451029944	1206075.4088019384	1205941.1018917449
7	1206034.714344832	1206077.692311844	1205540.8053006232
8	1206072.926193619	1206056.736499032	1205938.7842653864
9	1206075.848744463	1206056.3835476134	1205825.8594601173
10	1206078.148319251	1206020.851799616	1205754.8558104578
11	1206045.2449347712	1206060.4541120236	1203222.4809346162
12	1206076.6118417797	1206059.2007487165	1205448.862255693
13	1206011.416104179	1206063.0004350457	1205944.9973403732
14	1206074.8635260412	1206076.5343752275	1205944.186134968
15	1206070.578855828	1206068.57700649	1205757.5365286502
16	1206076.952991431	1206077.327012927	1205191.8164312243
17	1206051.7349600284	1206076.67757876	1205936.9172839995
18	1206078.0156942096	1206073.6109915173	1205929.115622866
19	1206075.7915637193	1206042.1414382518	1205667.3548705317
20	1206075.32490436	1206076.6548888336	1205806.9444852732
21	1206041.275424676	1206061.8014452322	1205839.0517158045
22	1206076.5915835325	1206059.962351181	1206020.3463814985
23	1206077.7247946253	1206077.393652344	1205875.5738253396
24	1206064.597488003	1206071.0789506305	1205824.918244943
25	1206075.7544939946	1206072.1897637674	1205758.9881733635
26	1206062.859816503	1206058.16465354	1205982.466615023
27	1206071.8349938227	1206076.7711648596	1205930.9133573023
28	1206076.4417538145	1206073.272652336	1205877.5822615735
29	1206074.175152562	1206078.4520397256	1205977.153695762
